hospital_name,node_name,latitude,longitude
RSU Bakti Rahayu,RSU Bakti Rahayu,-7.311822477414381, 112.72313939837164
RS Cempaka Putih,Klinik Unesa,-7.3112852394190355,112.72943040972358
RS Cempaka Putih,1,-7.3128606189599505,112.72881508510271
RS Cempaka Putih,2,-7.314369852332741,112.72796682998685
RS Cempaka Putih,3,-7.313931379352288,112.72668572874913
RS Cempaka Putih,4,-7.315052687171591,112.71927188886959
RS Cempaka Putih,5,-7.315671804196595,112.71908611309408
RS Cempaka Putih,6,-7.314793869419086,112.71726164237592
RS Cempaka Putih,7,-7.3158748636951305,112.71712315119929
RS Cempaka Putih,8,-7.316878215155274,112.7174723898186
RS Cempaka Putih,9,-7.317082246320721,112.71637677301464
RS Cempaka Putih,RS Cempaka Putih,-7.321641634176602,112.71424780790743
RS Wiyung Sejahtera,Klinik Unesa,-7.311266373862126,112.7294237023539
RS Wiyung Sejahtera,1,-7.3100683383955145,112.72985729111379
RS Wiyung Sejahtera,2,-7.309126291156291,112.72756546481156
RS Wiyung Sejahtera,3,-7.308323643787206,112.72612869252686
RS Wiyung Sejahtera,4,-7.307627683706407,112.72404041917298
RS Wiyung Sejahtera,5,-7.3082573619228555,112.72321346288341
RS Wiyung Sejahtera,6,-7.308812472244777,112.72189367412376
RS Wiyung Sejahtera,7,-7.3090030323524795,112.72035670489066
RS Wiyung Sejahtera,8,-7.30903617323126,112.71902856303761
RS Wiyung Sejahtera,9,-7.308547345019862,112.71892832591662
RS Wiyung Sejahtera,10,-7.3076193984691935,112.71887820735613
RS Wiyung Sejahtera,11,-7.307428837778291,112.71865267383392
RS Wiyung Sejahtera,12,-7.307586257463548,112.71609662720434
RS Wiyung Sejahtera,13,-7.307271417994044,112.71476013225785
RS Wiyung Sejahtera,14,-7.307271417994044,112.71475177916444
RS Wiyung Sejahtera,15,-7.307379126258577,112.71359905227311
RS Wiyung Sejahtera,16,-7.309939261248501,112.71098453396425
RS Wiyung Sejahtera,17,-7.312855643054489,112.70971486376509
RS Wiyung Sejahtera,18,-7.312739650983382,112.7076934150742
RS Wiyung Sejahtera,19,-7.313419032822356,112.7029989765747
RS Wiyung Sejahtera,20,-7.313651016628156,112.70266485283807
RS Wiyung Sejahtera,21,-7.313883000320359,112.69269125916829
RS Wiyung Sejahtera,22,-7.311563158002311,112.68706127415238
RS Wiyung Sejahtera,23,-7.311397454521332,112.68709468652605
RS Wiyung Sejahtera,24,-7.311570947598117,112.68784838096056
RS Wiyung Sejahtera,RS Wiyung Sejahtera,-7.311455266046776,112.68789748827949
RSUD Soetomo,Klinik Unesa,-7.311242381859154,112.72944921597775
RSUD Soetomo,1,-7.310062513044074,112.72988177554862
RSUD Soetomo,2,-7.309633469065803,112.7308279996099
RSUD Soetomo,3,-7.3100088825693295,112.73258527286654
RSUD Soetomo,4,-7.309378724008706,112.73273396521903
RSUD Soetomo,5,-7.309405539284717,112.73293672751787
RSUD Soetomo,6,-7.308212257944327,112.73388295157915
RSUD Soetomo,7,-7.308104996544115,112.73401812644504
RSUD Soetomo,8,-7.300824568696477,112.73970898838594
RSUD Soetomo,9,-7.299644672378415,112.73999285560431
RSUD Soetomo,10,-7.299577632721442,112.7401415479568
RSUD Soetomo,11,-7.297982085850717,112.74170957642286
RSUD Soetomo,12,-7.294482589281573,112.742466555674
RSUD Soetomo,13,-7.293490389886299,112.74250710813376
RSUD Soetomo,14,-7.291224412685745,112.74302077262745
RSUD Soetomo,15,-7.287483514037495,112.74591351480206
RSUD Soetomo,16,-7.285727023948283,112.74713008861538
RSUD Soetomo,17,-7.284413003997015,112.74742747332036
RSUD Soetomo,18,-7.283675542132614,112.74742747332036
RSUD Soetomo,19,-7.283031938012003,112.74730581594434
RSUD Soetomo,20,-7.283957118586895,112.75094201989027
RSUD Soetomo,21,-7.284332553633642,112.7509014674305
RSUD Soetomo,22,-7.284319145234263,112.75574072768292
RSUD Soetomo,23,-7.277011513372446,112.75582183260872
RSUD Soetomo,24,-7.2740347925678694,112.7562543921796
RSUD Soetomo,RSUD Soetomo,-7.268295833553887,112.75645715448852        
RS RSIA Pura Raharja,Klinik Unesa,-7.311284250219584,112.72943303367585
RS RSIA Pura Raharja,1,-7.310066614791917, 112.7298820225042
RS RSIA Pura Raharja,2,-7.309694558847327, 112.73052993044892
RS RSIA Pura Raharja,3,-7.3096776472067075, 112.73095050226283
RS RSIA Pura Raharja,4,-7.309987693849736, 112.7325759554896
RS RSIA Pura Raharja,5,-7.309378874783449, 112.73273509077053
RS RSIA Pura Raharja,6,-7.309412698063339, 112.73293969329717
RS RSIA Pura Raharja,7,-7.308217606462494, 112.73388313817703
RS RSIA Pura Raharja,8,-7.308189420301248, 112.73397975602619
RS RSIA Pura Raharja,9,-7.300835797308926, 112.73971591720999
RS RSIA Pura Raharja,10,-7.299609521060437, 112.7400506761945
RS RSIA Pura Raharja,11,-7.299547510309242, 112.74019844466966
RS RSIA Pura Raharja,12,-7.298160722151981, 112.74163634562301
RS RSIA Pura Raharja,13,-7.297258743809417, 112.7419659829923
RS RSIA Pura Raharja,14,-7.294829030590831, 112.74244907224416
RS RSIA Pura Raharja,15,-7.292820963183758, 112.74259794718526
RS RSIA Pura Raharja,16,-7.291161104039585, 112.7430790694192
RS RSIA Pura Raharja,17,-7.290997618030427, 112.74320410428493
RS RSIA Pura Raharja,18,-7.285885637268321, 112.74706239809326
RS RSIA Pura Raharja,19,-7.2842563929247985, 112.74744886948984
RS RSIA Pura Raharja,21,-7.283889953052855, 112.74745455289482
RS RSIA Pura Raharja,22,-7.283078146768758, 112.74730678441966
RS RSIA Pura Raharja,23,-7.283938957836972, 112.75095575314694
RS RSIA Pura Raharja,24,-7.284339222850486, 112.75092733613248
RS RSIA Pura Raharja,25,-7.284322310251515, 112.7520242328904
RS RSIA Pura Raharja,26,-7.283048225960888, 112.75204696650198
RS RSIA Pura Raharja,RS RSIA Pura Raharja,-7.283036950862507, 112.7527062412373
RS PHC Surabaya,Klinik Unesa,-7.311295117290139,112.72941255502836
RS PHC Surabaya,1,-7.3100588289673585,112.72988222083734
RS PHC Surabaya,2,-7.309665211483594,112.73076788231837
RS PHC Surabaya,3,-7.310005743957182,112.73258105581368
RS PHC Surabaya,4,-7.309367245356226,112.73272053069796
RS PHC Surabaya,5,-7.309420453607833,112.7329243786057
RS PHC Surabaya,6,-7.305285707379188,112.73620127444912
RS PHC Surabaya,7,-7.298830778482777,112.73751052328703
RS PHC Surabaya,8,-7.298107128575589,112.73805769398679
RS PHC Surabaya,9,-7.29746861297953,112.73891600096684
RS PHC Surabaya,10,-7.296840738421508,112.73915203538634
RS PHC Surabaya,11,-7.296220382691012,112.73914275020445
RS PHC Surabaya,12,-7.289799606603198,112.73883238626793
RS PHC Surabaya,13,-7.27344556929658,112.74212080765956
RS PHC Surabaya,14,-7.271666516786413,112.74158441837604
RS PHC Surabaya,15,-7.265417920064104,112.74095784164874
RS PHC Surabaya,16,-7.263896012122638,112.74116168955649
RS PHC Surabaya,17,-7.262980736333874,112.74089346862523
RS PHC Surabaya,18,-7.262757238474483,112.74119387606825
RS PHC Surabaya,19,-7.263055235595656,112.74189125048953
RS PHC Surabaya,20,-7.262821095017077,112.74210582723454
RS PHC Surabaya,21,-7.2614301329742705,112.74179740348994
RS PHC Surabaya,22,-7.260121067988939,112.74207635325844
RS PHC Surabaya,23,-7.259227070199552,112.74270935465623
RS PHC Surabaya,24,-7.257609355397487,112.7435783904735
